7 -0.210  000000|26-2 0.000  0 000 .0  .6  DCTim=0TotalTime=2823619-0.193  0.000  0. 0| 19260 . 000 0|CaTe282581
 144.572 136.956  0.000  0.000  0.000  0.000 |  1510.326 1502.847  0.000  0.000  0.000  0.000 | 0.91 | ADCTime=36000 TotalTime=282422
 144.499 136.911  0.000  0.000  0.000  0.000 |  1510.194 1502.960  0.000  0.000  0.000  0.000 | 0.90 | ADCTime=36000 TotalTime=282437
 144.551 136.937  0.000  0.000  0.000  0.000 |  1509.927 1503.441  0.000  0.000  0.000  0.000 | 0.89 | ADCTime=36000 TotalTime=282632
 144.518 136.902  0.000  0.000  0.000  0.000 |  1510.184 1502.919  0.000  0.000  0.000  0.000 | 0.91 | ADCTime=36000 TotalTime=282432
 144.540 136.911  0.000  0.000  0.000  0.000 |  1509.819 1502.862  0.000  0.000  0.000  0.000 | 0.91 | ADCTime=36000 TotalTime=282401
 144.562 136.937  0.000  0.000  0.000  0.000 |  1510.236 1503.106  0.000  0.000  0.000  0.000 | 0.91 | ADCTime=36000 TotalTime=282647
 144.470 136.942  0.000  0.000  0.000  0.000 |  1509.841 1503.338  0.000  0.000  0.000  0.000 | 0.91 | ADCTime=36000 TotalTime=282397
 144.567 136.940  0.000  0.000  0.000  0.000 |  1510.014 1503.097  0.000  0.000  0.000  0.000 | 0.90 | ADCTime=36000 TotalTime=282442
 144.524 136.910  0.000  0.000  0.000  0.000 |  1510.212 1503.326  0.000  0.000  0.000  0.000 | 0.89 | ADCTime=36000 TotalTime=282682
 144.554 136.936  0.000  0.000  0.000  0.000 |  1510.344 1502.950  0.000  0.000  0.000  0.000 | 0.92 | ADCTime=36000 TotalTime=282432
 144.564 136.917  0.000  0.000  0.000  0.000 |  1509.854 1503.026  0.000  0.000  0.000  0.000 | 0.91 | ADCTime=36000 TotalTime=282429
 144.591 136.944  0.000  0.000  0.000  0.000 |  1510.089 1503.002  0.000  0.000  0.000  0.000 | 0.90 | ADCTime=36000 TotalTime=282681
 144.552 136.961  0.000  0.000  0.000  0.000 |  1510.109 1502.972  0.000  0.000  0.000  0.000 | 0.92 | ADCTime=36000 TotalTime=282437
 144.508 136.962  0.000  0.000  0.000  0.000 |  1509.956 1503.028  0.000  0.000  0.000  0.000 | 0.89 | ADCTime=36000 TotalTime=282422
 144.549 136.948  0.000  0.000  0.000  0.000 |  1510.091 1503.121  0.000  0.000  0.000  0.000 | 0.91 | ADCTime=36000 TotalTime=282640
 144.611 136.925  0.000  0.000  0.000  0.000 |  1510.019 1502.912  0.000  0.000  0.000  0.000 | 0.91 | ADCTime=36000 TotalTime=282440
 144.487 136.923  0.000  0.000  0.000  0.000 |  1510.299 1503.072  0.000  0.000  0.000  0.000 | 0.90 | ADCTime=36000 TotalTime=282417
 144.539 136.855  0.000  0.000  0.000  0.000 |  1509.882 1503.024  0.000  0.000  0.000  0.000 | 0.91 | ADCTime=36000 TotalTime=282702
 144.554 136.935  0.000  0.000  0.000  0.000 |  1509.945 1503.052  0.000  0.000  0.000  0.000 | 0.92 | ADCTime=36000 TotalTime=282430
 144.570 136.890  0.000  0.000  0.000  0.000 |  1509.936 1502.936  0.000  0.000  0.000  0.000 | 0.92 | ADCTime=36000 TotalTime=282420
 144.626 136.892  0.000  0.000  0.000  0.000 |  1509.958 1503.180  0.000  0.000  0.000  0.000 | 0.89 | ADCTime=36000 TotalTime=282702
 144.623 136.972  0.000  0.000  0.000  0.000 |  1509.964 1503.031  0.000  0.000  0.000  0.000 | 0.91 | ADCTime=36000 TotalTime=282431
 144.637 136.921  0.000  0.000  0.000  0.000 |  1510.005 1502.857  0.000  0.000  0.000  0.000 | 0.90 | ADCTime=36000 TotalTime=282421
 144.625 136.906  0.000  0.000  0.000  0.000 |  1510.071 1502.842  0.000  0.000  0.000  0.000 | 0.92 | ADCTime=36000 TotalTime=282630
 144.550 136.929  0.000  0.000  0.000  0.000 |  1510.062 1503.034  0.000  0.000  0.000  0.000 | 0.89 | ADCTime=36000 TotalTime=282424
 144.639 136.968  0.000  0.000  0.000  0.000 |  1509.869 1503.376  0.000  0.000  0.000  0.000 | 0.92 | ADCTime=36000 TotalTime=282438
 144.680 136.887  0.000  0.000  0.000  0.000 |  1509.940 1502.954  0.000  0.000  0.000  0.000 | 0.92 | ADCTime=36000 TotalTime=282694
 144.632 136.878  0.000  0.000  0.000  0.000 |  1510.015 1502.726  0.000  0.000  0.000  0.000 | 0.92 | ADCTime=36000 TotalTime=282435
 144.633 136.898  0.000  0.000  0.000  0.000 |  1510.049 1503.069  0.000  0.000  0.000  0.000 | 0.92 | ADCTime=36000 TotalTime=282436
 144.591 136.941  0.000  0.000  0.000  0.000 |  1510.158 1502.429  0.000  0.000  0.000  0.000 | 0.90 | ADCTime=36000 TotalTime=282683
 144.619 136.889  0.000  0.000  0.000  0.000 |  1510.155 1502.506  0.000  0.000  0.000  0.000 | 0.90 | ADCTime=36000 TotalTime=282427
 144.614 136.887  0.000  0.000  0.000  0.000 |  1510.015 1503.089  0.000  0.000  0.000  0.000 | 0.91 | ADCTime=36000 TotalTime=282432
4
Forcing trip on cha 4
 144.659 -0.331  0.000  0.000  0.000  0.000 |  1510.005 -6.481  0.000  0.000  0.000  0.000 | 0.85 | ADCTime=36000 TotalTime=282834
 144.697 -0.516  0.000  0.000  0.000  0.000 |  1510.034 -6.459  0.000  0.000  0.000  0.000 | 0.86 | ADCTime=36000 TotalTime=282418
 144.614 -0.540  0.000  0.000  0.000  0.000 |  1510.047 -6.174  0.000  0.000  0.000  0.000 | 0.84 | ADCTime=36000 TotalTime=282435
5
Forcing trip on cha 5
 -0.282 -0.555  0.000  0.000  0.000  0.000 |  -5.134 -6.700  0.000  0.000  0.000  0.000 | 0.80 | ADCTime=36000 TotalTime=282848
 -0.452 -0.532  0.000  0.000  0.000  0.000 |  -4.799 -6.067  0.000  0.000  0.000  0.000 | 0.80 | ADCTime=36000 TotalTime=282418
 -0.447 -0.478  0.000  0.000  0.000  0.000 |  -4.924 -6.574  0.000  0.000  0.000  0.000 | 0.81 | ADCTime=36000 TotalTime=282407
 -0.467 -0.506  0.000  0.000  0.000  0.000 |  -5.238 -6.576  0.000  0.000  0.000  0.000 | 0.81 | ADCTime=36000 TotalTime=282658
 -0.479 -0.577  0.000  0.000  0.000  0.000 |  -5.285 -6.594  0.000  0.000  0.000  0.000 | 0.80 | ADCTime=36000 TotalTime=282413
