variable,mn,factor,offset
A0,MN245,2.644541885,-5485.56
A0,MN246,0.162812071,26.70
A0,MN247,0.049842536,-61.65
A0,MN248,0.071990999,18.56
A0,MN250,0.241775671,-110.82
A0,MN251,0.129028866,-16.74
A0,MN252,0.239103489,-64.09
A0,MN253,0.03694635,3.50
A0,MN254,0.197543617,-77.41
A0,MN255,0.213117776,-18.22
A0,MN256,0.19230845,-47.43
A0,MN257,0.170691502,-61.35
A0,MN258,0.130574676,-25.12
A0,MN259,0.184445631,-86.42
A0,MN260,0.183540702,-17.35
A0,MN261,0.067828198,-100.18
A0,MN262,0.041838056,-11.95
A0,MN263,0.298057749,1.08
A0,MN264,0.19347366,-31.86
A0,MN265,0.199316484,-15.04
A0,MN266,0.151678752,46.12
A0,MN269,0.383604327,-135.31
A0,MN270,0.259737688,-20.78
A0,MN271,0.145386934,-12.68
A0,MN272,0.150331425,-55.14
A0,MN273,0.041601838,-16.52
A0,MN274,0.12814743,-39.43
A0,MN275,0.239982746,-110.74
A0,MN276,0.042995978,-16.91
A0,MN277,0.145939615,-33.68
A0,MN278,1.054661179,-396.76
A0,MN279,0.157212109,19.21
A0,MN280,0.203972809,-46.25
A0,MN281,0.172776789,7.82
A0,MN282,0.120795617,-10.88
